income,federal,CA,HI,MN,DC,VT,NJ,ME,SC,WI,NE,NY,CT,DE,WV,OR,ID,VA,GA,RI,NM,KS,MD,AR,IA,KY,MA,NC,IL,MS,UT,OK,CO,AZ,MT,MI,OH,MO,AL,IN,PA,LA,ND,WA,AK,FL,NV,NH,SD,TN,TX,WY
10000.00,0.000000,0.000000,0.016360,0.000000,0.000000,0.000000,0.010585,0.000000,0.000000,0.000000,0.000000,0.004878,0.001707,0.000000,0.018293,0.001710,0.000000,0.008459,0.000000,0.000000,0.000000,0.006805,0.003415,0.017854,0.005861,0.036488,0.023659,0.000000,0.026561,0.000000,0.000000,0.000902,0.000000,0.000000,0.000254,0.001037,0.000000,0.000000,0.019268,0.025998,0.030700,0.008573,0.000000,0.001707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20000.00,0.027652,0.000000,0.038706,0.008221,0.014732,0.008906,0.012293,0.000000,0.000395,0.012623,0.006510,0.023171,0.009024,0.018976,0.027317,0.037959,0.011539,0.028146,0.017951,0.004573,0.003110,0.018902,0.024665,0.036524,0.022106,0.043244,0.036829,0.018865,0.038030,0.011463,0.000000,0.018957,0.000000,0.004661,0.009787,0.021768,0.000000,0.008245,0.031600,0.029149,0.030700,0.013425,0.004159,0.001707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30000.00,0.057179,0.000000,0.049525,0.023314,0.028228,0.017104,0.013801,0.015424,0.014481,0.021948,0.017410,0.034430,0.019593,0.029911,0.031829,0.049066,0.027503,0.037233,0.031134,0.015549,0.013502,0.028354,0.032276,0.042907,0.030025,0.045496,0.041220,0.029210,0.041854,0.024309,0.000000,0.028472,0.013330,0.011740,0.020389,0.028679,0.000854,0.019599,0.034644,0.030199,0.030700,0.018454,0.006475,0.001707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40000.00,0.078613,0.009990,0.056122,0.030860,0.036171,0.021203,0.016220,0.026207,0.028010,0.028449,0.025793,0.040448,0.027317,0.036308,0.035122,0.054481,0.035627,0.042300,0.037726,0.021037,0.022404,0.034720,0.036082,0.046098,0.034502,0.046622,0.043415,0.034382,0.043765,0.030732,0.000000,0.033229,0.021373,0.015325,0.028715,0.032134,0.007553,0.025611,0.036087,0.030724,0.030700,0.020913,0.007633,0.001707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50000.00,0.094331,0.019992,0.060638,0.037035,0.040937,0.023662,0.023433,0.034466,0.036558,0.033359,0.034314,0.044058,0.031951,0.040146,0.039220,0.057730,0.040502,0.045340,0.041680,0.024329,0.027819,0.039176,0.038366,0.048012,0.037639,0.047298,0.044732,0.037486,0.044912,0.034585,0.000193,0.036083,0.026198,0.018940,0.033884,0.034207,0.011770,0.029218,0.036952,0.031040,0.030700,0.022388,0.008328,0.001707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60000.00,0.112557,0.029347,0.064099,0.042196,0.044809,0.028209,0.028736,0.039972,0.042257,0.036633,0.039995,0.046465,0.035041,0.042705,0.042683,0.059145,0.043751,0.047367,0.044317,0.026524,0.031428,0.042146,0.039888,0.049289,0.039249,0.047748,0.045610,0.039555,0.045677,0.037154,0.008411,0.037986,0.029415,0.021350,0.036750,0.035589,0.015185,0.031160,0.037100,0.031250,0.030700,0.023072,0.010109,0.001707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70000.00,0.131919,0.037622,0.066693,0.045882,0.047693,0.033607,0.032524,0.043904,0.046328,0.038971,0.044053,0.048184,0.037596,0.045777,0.045697,0.059579,0.046073,0.048814,0.046200,0.028092,0.034007,0.044268,0.040976,0.050200,0.040770,0.048070,0.046237,0.041033,0.046223,0.038990,0.014280,0.039345,0.031713,0.023440,0.038354,0.036577,0.017625,0.032191,0.036877,0.031400,0.030700,0.023718,0.011608,0.001707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
80000.00,0.147594,0.044544,0.068638,0.048647,0.052064,0.037656,0.035828,0.047349,0.049380,0.040725,0.047096,0.049474,0.039817,0.048305,0.048110,0.059906,0.047814,0.049900,0.047613,0.029268,0.035941,0.045860,0.041791,0.050884,0.042284,0.048311,0.046707,0.042141,0.046633,0.040366,0.018683,0.040364,0.033436,0.025722,0.039556,0.037317,0.019454,0.032965,0.036709,0.031512,0.030700,0.024529,0.012732,0.001707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
90000.00,0.160542,0.049928,0.070151,0.050797,0.055724,0.040806,0.038925,0.050032,0.051755,0.042088,0.049463,0.050589,0.041545,0.050271,0.049986,0.060159,0.049168,0.050744,0.048711,0.030839,0.037445,0.047098,0.042425,0.051416,0.043461,0.048499,0.047073,0.043003,0.046951,0.041436,0.022107,0.041157,0.034777,0.027498,0.040492,0.037893,0.020877,0.033566,0.036579,0.031600,0.030700,0.025160,0.013606,0.001707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100000.00,0.171419,0.054235,0.071362,0.052517,0.058651,0.043325,0.041402,0.052179,0.053655,0.043180,0.051357,0.051780,0.042927,0.051844,0.051488,0.060362,0.050251,0.051420,0.049590,0.032505,0.038648,0.048088,0.042933,0.051841,0.044448,0.048649,0.047366,0.043693,0.047206,0.042293,0.024846,0.041791,0.035849,0.028918,0.041240,0.038354,0.022432,0.034048,0.036475,0.031670,0.030700,0.025664,0.014305,0.001707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
110000.00,0.181865,0.057759,0.072352,0.054220,0.061047,0.045386,0.043429,0.053935,0.055209,0.044072,0.052906,0.052755,0.044058,0.053131,0.052716,0.060405,0.051137,0.051973,0.050309,0.033868,0.039633,0.048898,0.043437,0.052190,0.045799,0.048772,0.047605,0.044257,0.047415,0.042993,0.027088,0.042310,0.036726,0.030080,0.041757,0.038731,0.023746,0.034365,0.036319,0.031727,0.030700,0.026017,0.014935,0.001707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
120000.00,0.191151,0.060696,0.073178,0.056243,0.063043,0.047816,0.045119,0.055399,0.056504,0.044816,0.054198,0.053567,0.045203,0.054203,0.053740,0.060411,0.051876,0.052433,0.050909,0.035004,0.040453,0.049573,0.043984,0.052480,0.046895,0.048874,0.047805,0.044727,0.047588,0.043577,0.028955,0.042743,0.037458,0.031048,0.042165,0.039045,0.025025,0.034612,0.036172,0.031775,0.030700,0.026297,0.015600,0.001707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
130000.00,0.199238,0.063181,0.073876,0.057956,0.064732,0.049984,0.046548,0.056638,0.057600,0.045446,0.055290,0.054254,0.046360,0.055111,0.054606,0.060417,0.052501,0.052823,0.051416,0.035965,0.041147,0.050144,0.044447,0.052725,0.047824,0.048961,0.047974,0.045125,0.047735,0.044071,0.030536,0.043109,0.038076,0.031953,0.042511,0.039311,0.026170,0.034821,0.036048,0.031815,0.030700,0.026534,0.016163,0.001707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
140000.00,0.206344,0.065311,0.074474,0.059423,0.066179,0.051842,0.047773,0.057699,0.058539,0.045985,0.056226,0.054843,0.047352,0.055889,0.055348,0.060421,0.053036,0.053157,0.051850,0.036789,0.041743,0.050634,0.045013,0.052936,0.048619,0.049035,0.048118,0.045466,0.047861,0.044495,0.031890,0.043422,0.038606,0.032885,0.042807,0.039538,0.027150,0.035000,0.035942,0.031850,0.030700,0.026737,0.016646,0.001707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150000.00,0.212639,0.067157,0.074993,0.060695,0.067434,0.053453,0.048835,0.058619,0.059353,0.046453,0.057038,0.055354,0.048211,0.056563,0.055992,0.060425,0.053501,0.053447,0.052227,0.037503,0.042258,0.051059,0.045512,0.053118,0.049309,0.049099,0.048244,0.045762,0.047971,0.044862,0.033064,0.043694,0.039066,0.033693,0.043064,0.039736,0.028000,0.035155,0.035850,0.031880,0.030700,0.026913,0.017064,0.001707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
