income,federal,AK,FL,NV,NH,SD,TN,TX,WA,WY,ND,PA,IN,OH,LA,MI,AZ,CO,OK,IL,UT,MS,NYC,AL,KY,MA,MO,AR,MD,KS,NM,VA,RI,GA,ID,WV,DE,CT,NY,MT,NE,SC,WI,ME,NJ,VT,IA,DC,MN,OR,HI,CA
10000.00,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011000,0.030700,0.032300,0.000000,0.018500,0.042500,0.025900,0.045500,0.028650,0.049500,0.049500,0.020000,0.049900,0.043500,0.050000,0.050000,0.035124,0.033650,0.042250,0.031000,0.023750,0.037000,0.037500,0.040250,0.037771,0.030000,0.026100,0.030000,0.040750,0.023000,0.031488,0.024370,0.035400,0.058000,0.014000,0.033500,0.022122,0.040000,0.053500,0.061800,0.040000,0.010675
20000.00,0.109725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011000,0.030700,0.032300,0.000000,0.024688,0.042500,0.025900,0.045500,0.038075,0.049500,0.049500,0.035000,0.049900,0.046750,0.050000,0.050000,0.044562,0.044325,0.044875,0.036375,0.035025,0.044625,0.037500,0.048875,0.048885,0.035000,0.037050,0.040000,0.047817,0.038950,0.033294,0.042755,0.039418,0.058000,0.014000,0.033500,0.034974,0.050000,0.053500,0.074650,0.053280,0.015337
30000.00,0.113150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011000,0.030700,0.032300,0.004608,0.028125,0.042500,0.026448,0.045500,0.041217,0.049500,0.049500,0.040000,0.049900,0.047833,0.050000,0.050000,0.047708,0.047883,0.045750,0.041750,0.039683,0.048917,0.037500,0.051750,0.052590,0.037500,0.042617,0.043333,0.051378,0.048467,0.038601,0.051837,0.042749,0.060217,0.015167,0.033500,0.042507,0.053333,0.054428,0.078933,0.060320,0.022154
40000.00,0.114863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011000,0.030700,0.032300,0.010369,0.029844,0.042500,0.028186,0.045500,0.042787,0.049500,0.049500,0.042500,0.049900,0.048375,0.050000,0.050000,0.049281,0.049663,0.046188,0.045562,0.042013,0.051062,0.037500,0.053188,0.054443,0.039375,0.045837,0.045000,0.053159,0.053225,0.044596,0.056378,0.045312,0.062038,0.017938,0.033500,0.047153,0.055000,0.057821,0.081075,0.064540,0.029169
50000.00,0.132340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012781,0.030700,0.032300,0.014355,0.030875,0.042500,0.029229,0.045500,0.043730,0.049500,0.049500,0.044000,0.049900,0.048700,0.050000,0.050000,0.050225,0.050730,0.046450,0.047850,0.043410,0.052350,0.037500,0.054050,0.055554,0.043500,0.047770,0.046000,0.054227,0.056080,0.049357,0.059102,0.046850,0.063130,0.025400,0.039382,0.050222,0.057000,0.059857,0.082360,0.067572,0.035961
60000.00,0.146950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014051,0.030700,0.032300,0.017339,0.032812,0.042500,0.030531,0.045500,0.044358,0.049500,0.049500,0.045000,0.049900,0.048917,0.050000,0.050000,0.050854,0.051442,0.046625,0.049375,0.044342,0.053208,0.037500,0.054625,0.056295,0.046250,0.049058,0.047500,0.054939,0.057983,0.052531,0.060918,0.047875,0.064228,0.030375,0.043819,0.053798,0.058333,0.061214,0.083217,0.070060,0.043301
70000.00,0.157386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014958,0.030700,0.032300,0.019471,0.034196,0.042500,0.032126,0.045500,0.044807,0.049500,0.049500,0.045714,0.049900,0.049071,0.050000,0.050000,0.051303,0.051950,0.046750,0.050464,0.045007,0.053821,0.037757,0.055036,0.056824,0.048929,0.051479,0.048571,0.055448,0.059343,0.054798,0.062216,0.048607,0.065267,0.033929,0.046988,0.056741,0.062143,0.062183,0.083829,0.071837,0.050176
80000.00,0.165212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015638,0.030700,0.032300,0.021069,0.035234,0.042500,0.033323,0.045500,0.045144,0.049500,0.049500,0.046250,0.049900,0.049188,0.050000,0.050000,0.051641,0.052331,0.046844,0.051281,0.045506,0.054281,0.038975,0.055344,0.057221,0.050937,0.053294,0.049375,0.055829,0.060362,0.056498,0.063189,0.049156,0.066046,0.037122,0.049364,0.059162,0.065000,0.062910,0.084288,0.073170,0.055529
90000.00,0.171506,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016167,0.030700,0.032300,0.022392,0.036042,0.042500,0.034254,0.045500,0.045406,0.049500,0.049500,0.046667,0.049900,0.049278,0.050000,0.050000,0.051903,0.052628,0.046917,0.051917,0.045894,0.054639,0.039922,0.055583,0.057530,0.052500,0.054706,0.050000,0.056542,0.061156,0.057820,0.063946,0.049583,0.066652,0.040075,0.051213,0.062066,0.067222,0.063476,0.084644,0.074207,0.059692
100000.00,0.178355,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016634,0.030700,0.032300,0.023841,0.036688,0.042500,0.034998,0.045500,0.045615,0.049500,0.049500,0.047000,0.049900,0.049350,0.050000,0.050000,0.052112,0.052865,0.046975,0.052425,0.046205,0.054925,0.040680,0.055775,0.057777,0.053750,0.055835,0.050500,0.057138,0.061790,0.058878,0.064551,0.049925,0.067137,0.042438,0.052771,0.064389,0.069000,0.064744,0.084930,0.075036,0.063023
