income,federal,OR,HI,IA,DC,SC,CA,MT,AR,MN,ME,NE,DE,WV,NY,VA,ID,GA,KS,KY,VT,MA,CT,IL,MO,NJ,WI,NC,MD,NM,MS,OK,MI,AL,CO,LA,RI,IN,AZ,PA,UT,OH,ND,WA,AK,FL,NV,NH,SD,TN,TX,WY
1000.00,0.000000,0.000000,0.014500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030700,0.000000,0.000000,0.000000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2000.00,0.000000,0.000000,0.014500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006460,0.000000,0.030700,0.000000,0.000000,0.000000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3000.00,0.000000,0.000000,0.014500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013067,0.000000,0.000000,0.014000,0.000000,0.000000,0.004667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015073,0.000000,0.030700,0.000000,0.000000,0.000000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4000.00,0.000000,0.000000,0.014500,0.000000,0.000000,0.000000,0.000000,0.000000,0.001600,0.000000,0.000000,0.000000,0.000000,0.006000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022300,0.000000,0.000000,0.014000,0.002475,0.000000,0.007000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019380,0.000000,0.030700,0.000000,0.000000,0.000000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5000.00,0.000000,0.000000,0.015647,0.000000,0.000000,0.000000,0.000000,0.000000,0.006880,0.000000,0.000000,0.000000,0.000000,0.010800,0.000000,0.000000,0.000000,0.000000,0.000000,0.027840,0.000000,0.006800,0.014000,0.011880,0.000000,0.008400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005200,0.000000,0.002220,0.000000,0.021964,0.000000,0.030700,0.000000,0.000000,0.000000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6000.00,0.000000,0.000000,0.017322,0.000000,0.000000,0.000000,0.000000,0.000000,0.013067,0.000000,0.000000,0.000000,0.000000,0.014000,0.000000,0.003040,0.000000,0.000000,0.000000,0.031533,0.000000,0.014000,0.014000,0.018150,0.000000,0.009333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009333,0.000000,0.004933,0.000000,0.023687,0.000000,0.030700,0.000000,0.000000,0.000000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7000.00,0.000000,0.000000,0.018750,0.000702,0.000000,0.000000,0.000000,0.000000,0.017486,0.000000,0.000000,0.000000,0.000000,0.016286,0.000000,0.005463,0.000000,0.000000,0.002657,0.034171,0.000000,0.019143,0.014000,0.022629,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000114,0.000000,0.014000,0.000000,0.006871,0.000000,0.024917,0.000000,0.030700,0.000000,0.000000,0.000000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8000.00,0.000000,0.000065,0.021418,0.004973,0.000000,0.000000,0.000000,0.000010,0.021250,0.000000,0.000000,0.000000,0.000000,0.018000,0.004000,0.007920,0.000000,0.000000,0.006200,0.036150,0.000000,0.023000,0.014000,0.025988,0.000000,0.010500,0.000000,0.000000,0.002750,0.000000,0.000000,0.000738,0.000000,0.018500,0.000000,0.008325,0.000000,0.025840,0.000000,0.030700,0.000000,0.000000,0.000000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9000.00,0.000000,0.007558,0.023494,0.009020,0.000000,0.000000,0.000000,0.001120,0.025611,0.000000,0.000000,0.000000,0.000000,0.019333,0.008000,0.010373,0.000000,0.000133,0.008956,0.037689,0.000000,0.026000,0.014000,0.028600,0.000000,0.010889,0.000000,0.000000,0.006222,0.000000,0.000000,0.001844,0.004722,0.022000,0.000000,0.009456,0.000000,0.026558,0.000000,0.030700,0.000000,0.000000,0.000000,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000.00,0.000000,0.014960,0.026465,0.012258,0.000000,0.000000,0.000000,0.002008,0.029100,0.000000,0.000000,0.000000,0.000940,0.020400,0.011200,0.014160,0.000000,0.001640,0.011160,0.038920,0.000000,0.028400,0.014000,0.030690,0.000000,0.011200,0.000000,0.000000,0.010050,0.000000,0.000000,0.003730,0.008500,0.024800,0.000000,0.010360,0.000000,0.027132,0.000000,0.030700,0.000000,0.000000,0.000484,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
